alpha_id,combined_score,sharpe,fitness,returns,turnover,expression,description
58pdPVv5,2.5100,1.7800,0.7300,0.064100,0.380500,"group_neutralize(ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 20)); industry)","Step3.3: group_neutralize(industry) | CMF=5; Rev=20"
ak19zZOW,2.5000,1.7700,0.7300,0.063600,0.377400,"ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 20))","Param: CMF_window=5; Reversal_window=20"
omN0k9Jk,2.5000,1.8000,0.7000,0.065200,0.429200,"group_neutralize(ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 20)); industry)","Step3.3: group_neutralize(industry) | CMF=3; Rev=20"
YPv3Pd9v,2.5000,1.7600,0.7400,0.065700,0.375300,"group_neutralize(ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 60)); industry)","Step3.3: group_neutralize(industry) | CMF=5; Rev=60"
3qpvkA6P,2.4900,1.7900,0.7000,0.064800,0.425700,"ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 20))","Param: CMF_window=3; Reversal_window=20"
blQ1gdll,2.4900,1.7900,0.7000,0.064800,0.428900,"group_neutralize(ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 20)); subindustry)","Step3.3: group_neutralize(subindustry) | CMF=3; Rev=20"
rK2a1QQm,2.4900,1.7700,0.7200,0.063700,0.380200,"group_neutralize(ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 20)); subindustry)","Step3.3: group_neutralize(subindustry) | CMF=5; Rev=20"
N1blzmoL,2.4800,1.7500,0.7300,0.065400,0.372200,"ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 60))","Param: CMF_window=5; Reversal_window=60"
wpa7p7Z5,2.4800,1.7500,0.7300,0.065300,0.374900,"group_neutralize(ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 60)); subindustry)","Step3.3: group_neutralize(subindustry) | CMF=5; Rev=60"
E5GPPaRR,2.4700,1.7700,0.7000,0.066300,0.424800,"group_neutralize(ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 60)); industry)","Step3.3: group_neutralize(industry) | CMF=3; Rev=60"
qMNJYObv,2.4600,1.7600,0.7000,0.066100,0.421200,"ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 60))","Param: CMF_window=3; Reversal_window=60"
d5ZrMR1E,2.4600,1.7500,0.7100,0.068000,0.417500,"group_neutralize(rank(ts_rank(short_term_price_change_2; 5)) * rank(1 - ts_rank(returns; 10)); industry)","Step3.5: Dual rank + neutralize(industry) | CMF=5; Rev=10"
VkGbW21Y,2.4600,1.7500,0.7100,0.067800,0.417200,"group_neutralize(rank(ts_rank(short_term_price_change_2; 5)) * rank(1 - ts_rank(returns; 10)); subindustry)","Step3.5: Dual rank + neutralize(subindustry) | CMF=5; Rev=10"
leWwX2aO,2.4500,1.6900,0.7600,0.066500,0.330300,"group_neutralize(rank(ts_rank(short_term_price_change_2; 10)) * rank(1 - ts_rank(returns; 60)); industry)","Step3.5: Dual rank + neutralize(industry) | CMF=10; Rev=60"
9qp50eLd,2.4500,1.6900,0.7600,0.066300,0.330000,"group_neutralize(rank(ts_rank(short_term_price_change_2; 10)) * rank(1 - ts_rank(returns; 60)); subindustry)","Step3.5: Dual rank + neutralize(subindustry) | CMF=10; Rev=60"
omN0j1Ev,2.4400,1.7500,0.6900,0.065900,0.424500,"group_neutralize(ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 60)); subindustry)","Step3.3: group_neutralize(subindustry) | CMF=3; Rev=60"
88pxYQ1o,2.4000,1.6200,0.7800,0.055900,0.240900,"ts_rank(short_term_price_change_2; 22) * (1 - ts_rank(returns; 60))","Param: CMF_window=22; Reversal_window=60"
leWPG00e,2.3900,1.6600,0.7300,0.059000,0.303300,"ts_rank(short_term_price_change_2; 10) * (1 - ts_rank(returns; 60))","Param: CMF_window=10; Reversal_window=60"
blQ0kmQp,2.3900,1.6700,0.7200,0.062300,0.334200,"group_neutralize(rank(ts_rank(short_term_price_change_2; 10)) * rank(1 - ts_rank(returns; 20)); industry)","Step3.5: Dual rank + neutralize(industry) | CMF=10; Rev=20"
ak1mZwb2,2.3900,1.6700,0.7200,0.062000,0.334000,"group_neutralize(rank(ts_rank(short_term_price_change_2; 10)) * rank(1 - ts_rank(returns; 20)); subindustry)","Step3.5: Dual rank + neutralize(subindustry) | CMF=10; Rev=20"
wpa7MbwY,2.3900,1.6600,0.7300,0.059000,0.305800,"group_neutralize(ts_rank(short_term_price_change_2; 10) * (1 - ts_rank(returns; 60)); industry)","Step3.3: group_neutralize(industry) | CMF=10; Rev=60"
rK2a32EJ,2.3700,1.6600,0.7100,0.057000,0.311900,"group_neutralize(ts_rank(short_term_price_change_2; 10) * (1 - ts_rank(returns; 20)); industry)","Step3.3: group_neutralize(industry) | CMF=10; Rev=20"
wpa7go51,2.3700,1.6500,0.7200,0.058700,0.305500,"group_neutralize(ts_rank(short_term_price_change_2; 10) * (1 - ts_rank(returns; 60)); subindustry)","Step3.3: group_neutralize(subindustry) | CMF=10; Rev=60"
gJ8VGMZv,2.3600,1.6500,0.7100,0.056900,0.309400,"ts_rank(short_term_price_change_2; 10) * (1 - ts_rank(returns; 20))","Param: CMF_window=10; Reversal_window=20"
QPGpRxjp,2.3400,1.6800,0.6600,0.059900,0.391000,"group_neutralize(ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 10)); industry)","Step3.3: group_neutralize(industry) | CMF=5; Rev=10"
WjArQ7qd,2.3400,1.6400,0.7000,0.056600,0.311600,"group_neutralize(ts_rank(short_term_price_change_2; 10) * (1 - ts_rank(returns; 20)); subindustry)","Step3.3: group_neutralize(subindustry) | CMF=10; Rev=20"
gJ8Vgd3l,2.3300,1.6700,0.6600,0.059700,0.387800,"ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 10))","Param: CMF_window=5; Reversal_window=10"
2rpog2L5,2.3200,1.6700,0.6500,0.059600,0.390700,"group_neutralize(ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 10)); subindustry)","Step3.3: group_neutralize(subindustry) | CMF=5; Rev=10"
d5Zrzzng,2.3100,1.5800,0.7300,0.053300,0.247500,"ts_rank(short_term_price_change_2; 22) * (1 - ts_rank(returns; 20))","Param: CMF_window=22; Reversal_window=20"
wpak2Lb5,2.2900,1.6700,0.6200,0.060000,0.435600,"ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 10))","Param: CMF_window=3; Reversal_window=10"
O0GXVlwJ,2.2900,1.6700,0.6200,0.060200,0.439200,"group_neutralize(ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 10)); industry)","Step3.3: group_neutralize(industry) | CMF=3; Rev=10"
XgoAMbg1,2.2700,1.6600,0.6100,0.059800,0.438900,"group_neutralize(ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 10)); subindustry)","Step3.3: group_neutralize(subindustry) | CMF=3; Rev=10"
ak19QR8x,2.2300,1.6300,0.6000,0.054200,0.399000,"ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 5))","Param: CMF_window=5; Reversal_window=5"
xANpGnol,2.2000,1.5600,0.6400,0.052900,0.319100,"ts_rank(short_term_price_change_2; 10) * (1 - ts_rank(returns; 10))","Param: CMF_window=10; Reversal_window=10"
MPGNeAr9,2.2000,1.6300,0.5700,0.054400,0.445700,"ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 5))","Param: CMF_window=3; Reversal_window=5"
2rpVM0XY,2.1800,1.5500,0.6300,0.052800,0.321700,"group_neutralize(ts_rank(short_term_price_change_2; 10) * (1 - ts_rank(returns; 10)); industry)","Step3.3: group_neutralize(industry) | CMF=10; Rev=10"
KPGMQxJz,2.1600,1.5000,0.6600,0.049600,0.256700,"ts_rank(short_term_price_change_2; 22) * (1 - ts_rank(returns; 10))","Param: CMF_window=22; Reversal_window=10"
N1bE02l7,2.1600,1.5400,0.6200,0.052400,0.321500,"group_neutralize(ts_rank(short_term_price_change_2; 10) * (1 - ts_rank(returns; 10)); subindustry)","Step3.3: group_neutralize(subindustry) | CMF=10; Rev=10"
78zPW0X2,2.1500,1.5300,0.6200,0.055100,0.341000,"group_neutralize(rank(ts_rank(short_term_price_change_2; 10)) * rank(1 - ts_rank(returns; 10)); industry)","Step3.5: Dual rank + neutralize(industry) | CMF=10; Rev=10"
GrG5jra0,2.1400,1.5900,0.5500,0.053400,0.441300,"group_rank(ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 60)); subindustry)","Step3.2: group_rank(subindustry) | CMF=3; Rev=60"
